"id","name"
"Q3uKbRHFLbf5Y4vuRP9KV9","RUGEGA"
"Q5KS6pzN8mn6WTCpyiDMPc","KANSI"
"DLcxim6HqmjCHDKCv5ykqu","RUGARURA"
"SNHYaFkPqept5nqNqm6de4","CDS MWUMBA (MATANA)"
"jRYNk2DRh3qXM7CMA9fZMX","RUBUYE III B"
"LdFQZFvMqJ6pnfXgeG5JjV","MBUYE"
"53C49QWQaAjESsZguXwoou","GISUMA"
"Y6zWawskbDKUYXay893xAq","NYARUSANGE"
"WHGfB4jaUxkiF2r3uFwioc","TARA II"
"JjbhQrKDFHqMkGWb3K9beX","CDS RWISABI"
"ivLQhkifZMcwBDoXzbSjdJ","MATABA"
"BVCSTX4yNQHRtTQXEJvVXT","Gisagara"
"97ww9c5T7oQGcv8NuumRkN","CURIZA"
"B4ZBLk5YpyQzNqDBrL5Tof","ISARE"
"KqRPCsf8Uum3NpMg3kddFp","NYANZA"
"ejuYmEnMC3S72bmdjkr7xN","CDS RUKURAMIGABO"
"iwqpsfMbLfYvfTuiP5Vxa7","SFD_Centre d'Enseignement des Metiers de Gihanga"
"YdHh47sZ7YErxC9A5N2Dmt","RUGENGE"
"JjST6kbDN3z95JUkZWYGLB","NYAKIVUMU"
"BV9ZtSSKbG6SBoaANqNoUS","Gatohwe"
"krrpspiANGhnrhZ2PQCusZ","SFD_ECOFO MUREMERA I"
"DxjMBiTmZyFQrYtUs6pZnM","4eme AVENUE"
"Dkzj4BhpnEdPti3oti9UEi","KIYANGE-KANABUGIRI"
"ioHB5aayCDqEEJx9PQtd4g","KIREHE"
"ipuf8izafUiSGQmcNzxEwe","CDS GASENYI"
"bK9mewxcL7e4aHydGo5tK4","NYAMIYAGA"
"inC8o5jFTPBoCQzHTxPSkP","MATORE"
"Qm7cNhrNQ76SAMNRXWzt3f","NYARUHOMBO"
"nxNXsWp3BKp9dvBuEREdNq","RUHEMBE I"
"ECkjrwMsDGMedPY4n5chik","RUSHIHA"
"W6VvzQbAHUUg3JpyBvgZs2","BUHANDA"
"WVjShwSJ5EE9GtNGpeKM4v","KIGARAMA"
"bLcuD4GCA684jgbtetPPSi","MUNAZI"
"W9CoAK55VeoLbJNLdmKcMq","GISHINGWE II"
"W9z2MHnePwgvYYUeWiFZDM","CDS KAYONGOZI"
"WAx3aRL8NbQySBeVUUHxYp","CDS NYANKANDA"
"VDhmfzG3FptWB9FiwzZ45b","NYAGASENYI"
"kPqSLCdyijxjE2hb3N7WVU","KIVUZIRWA"
"XyxnTbMCkrJ7cHMK6iHXKh","MUDIDA"
"kQo4sK9yzfvVDpj7kZt5zw","SFD_CDS KIBONGERA"
"jP5nmxGnTW5nKpvBWY73jK","SFD_CEM MAKAMBA"
"QJwrZUYvXXbbzeSKHZvfyg","RUGASA I"
"QMFNewSDGoyWHnYw2oMfsX","CDS GASEZERWA"
"QRm7ocLoF4wKuidtunXf6Z","SFD_ECOFO KIGAGA (KIRUNDO)"
"QWuWkMahdFN4jVhFDYhZ6J","MUGERERA"
"QenBeheRFZpVuYKRsoF6my","CDS BURARANA"
"Qg75e2AQUiucF3gSN2YTxd","Muyange"
"QjW6hn8BGrsQqtKgsnmPTs","MURARAMBWE II"
"QqTSTTZZZirTKA3v57tMhr","GATARE"
"YKKsYCdtudhRGK8gLCUdLi","INSS"
"QvYoVJpiz3bDaEsNxdh2WX","NYAMISAGARA"
"V2TY9r5e9mfbDUU92en99q","VYIKONA"
"Npn5dRYSb88u95GpgoF6Az","BUHANDA"
"9zYfHmEAJKDCTyW65Nd9eD","RUHEMBE"
"QyPRZDwihR67knQcSvfmqA","NYANGE"
"RMSxTtierZvzPuqgeuA69M","BUGONZA"
"U35u68fm8r3GXSb4u5QSH4","MUSENGA"
"EvpJLWnf4VGWSmwUHd49im","NYAKIGINA"
"6uGSusWLH3UExCRSbHZxZH","BUHANA"
"fLfWvv66avqUtoceRUjVp8","RUTOVU"
"FqfYMTAvkBN8fZozJDfqEp","KAGWA"
"KxUy9XGiR7ZuxLbL5FEVVV","YANZA"
"G7JFN3uxLPXciSJiRJRhzW","SFD_CDS KIRAMBI (NYABIHANGA)"
"iTgm2FTxhQkZTifyoYKQCU","Rutumo I"
"dNNaD9iJ2sbbriwSpr2mwC","KARAMBI"
"WiHXLkApsXdAAB44df5TmX","CDS NTAMBA"
"HY4kRB9Drk5ju99srMBXmK","MATYAZO"
"MJqeYN7BQpFkM4QrKD6Ugi","MUREMERA"
"Xay2f2gRaVcfSuUVdkVTLr","GASENYI"
"csQSyntcAroZjuw7WRRgdT","SFD_ECOFO KARONGE"
"V9TtH3nXXAbkRjAd2sXznb","Giheta"
"cwuDTnsKEz2JAfzpv83NTV","KABUGA"
"gWqMoix47VjkqHAeSR6TBZ","RAMVYA"
"A22CLBrm469NQqFtFK92Nt","RUBUGA"
"hsoYRZdPvTQ8fLqPkkJRY7","Gaseme"
"J6H2Pu22Mxe3VpNUWQm9LT","NYARUSANGE"
"ga7kfecyX9bi5wUa9qextv","GASASA"
"gch5MLf8dq6GFXxWTnwaMi","CAMP DE REFUGIES de KAVUMU"
"nEL2JYT2gjQdLxMLLVXLnU","SFD_ECOFO RWIRI"
"HS7z4pXB2HGShDbRTCnom2","KANABUHUZU"
"LekW2ZiySH7aPNQPkcoWBv","RUGARUYE"
